course_name,section,related_book,vocabulary
"1-3 Reading & Writing Curriculum","Week 1","Placeholder: Course Introduction & Assessment",
"1-3 Reading & Writing Curriculum","Week 2","Welcome to My Home (Yan Li)",
"1-3 Reading & Writing Curriculum","Week 3","Welcome to My Home (Yan Li)",
"1-3 Reading & Writing Curriculum","Week 4","The Princess Who Didn't Eat Eggplants (Christia Loulopoulou)",
"1-3 Reading & Writing Curriculum","Week 5","The Princess Who Didn't Eat Eggplants (Christia Loulopoulou)",
"1-3 Reading & Writing Curriculum","Week 6","The Tale of Johnny Town-Mouse (Beatrix Potter)",
"1-3 Reading & Writing Curriculum","Week 7","The Tale of Johnny Town-Mouse (Beatrix Potter)",
"1-3 Reading & Writing Curriculum","Week 8","Me Tawk Funny (Neil Macfarlane)",
"1-3 Reading & Writing Curriculum","Week 9","Me Tawk Funny (Neil Macfarlane)",
"1-3 Reading & Writing Curriculum","Week 10","All Summer in a Day (Ray Bradbury, adapted)",
"1-3 Reading & Writing Curriculum","Week 11","All Summer in a Day (Ray Bradbury, adapted)",
"1-3 Reading & Writing Curriculum","Week 12","Charlotte's Web (E.B. White)",
"1-3 Reading & Writing Curriculum","Week 13","Charlotte's Web (E.B. White)",
"1-3 Reading & Writing Curriculum","Week 14","Charlotte's Web (E.B. White)",
"1-3 Reading & Writing Curriculum","Week 15","Placeholder: Midterm Review & Quiz",
"1-3 Reading & Writing Curriculum","Week 16","Pippi Longstocking (Astrid Lindgren)",
"1-3 Reading & Writing Curriculum","Week 17","Pippi Longstocking (Astrid Lindgren)",
"1-3 Reading & Writing Curriculum","Week 18","Pippi Longstocking (Astrid Lindgren)",
"1-3 Reading & Writing Curriculum","Week 19","Pippi Longstocking (Astrid Lindgren)",
"1-3 Reading & Writing Curriculum","Week 20","The Indian in the Cupboard (Lynne Reid Banks)",
"1-3 Reading & Writing Curriculum","Week 21","The Indian in the Cupboard (Lynne Reid Banks)",
"1-3 Reading & Writing Curriculum","Week 22","The Indian in the Cupboard (Lynne Reid Banks)",
"1-3 Reading & Writing Curriculum","Week 23","The Indian in the Cupboard (Lynne Reid Banks)",
"1-3 Reading & Writing Curriculum","Week 24","The Fun They Had (Isaac Asimov, adapted)",
"1-3 Reading & Writing Curriculum","Week 25","The Fun They Had (Isaac Asimov, adapted)",
"1-3 Reading & Writing Curriculum","Week 26","Placeholder: Writing Unit Review & Creative Writing",
"1-3 Reading & Writing Curriculum","Week 27","Placeholder: Final Project - Analytical Response",
"1-3 Reading & Writing Curriculum","Week 28","Placeholder: Final Project - Revision & Editing",
"1-3 Reading & Writing Curriculum","Week 29","Placeholder: Final Project Presentations / Sharing",
"1-3 Reading & Writing Curriculum","Week 30","Placeholder: Course Review & Final Assessments",
"10-12 Advanced Reading - 19th Century Literature","Week 1","The Picture of Dorian Gray (Oscar Wilde)",
"10-12 Advanced Reading - 19th Century Literature","Week 2","The Picture of Dorian Gray (Oscar Wilde)",
